model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-125m,MeZO,1e-8,0,12,3600,7200,0.992594
opt-125m,MeZO,1e-8,0,13,3900,7800,0.990166
opt-125m,MeZO,1e-8,0,14,4200,8400,0.987154
opt-125m,MeZO,1e-8,1,1,300,600,1.044170
opt-125m,MeZO,1e-8,1,2,600,1200,1.041312
opt-125m,MeZO,1e-8,1,3,900,1800,1.039264
opt-125m,MeZO,1e-8,1,4,1200,2400,1.036871
opt-125m,MeZO,1e-8,1,5,1500,3000,1.033950
opt-125m,MeZO,1e-8,1,6,1800,3600,1.031940
opt-125m,MeZO,1e-8,1,7,2100,4200,1.030069
opt-125m,MeZO,1e-8,1,8,2400,4800,1.027967
opt-125m,MeZO,1e-8,1,9,2700,5400,1.025278
opt-125m,MeZO,1e-8,1,10,3000,6000,1.023010
opt-125m,MeZO,1e-8,1,11,3300,6600,1.020660
opt-125m,MeZO,1e-8,1,12,3600,7200,1.018216
opt-125m,MeZO,1e-8,1,13,3900,7800,1.016037
opt-125m,MeZO,1e-8,1,14,4200,8400,1.013785
opt-125m,MeZO,1e-8,2,1,300,600,0.932356
opt-125m,MeZO,1e-8,2,2,600,1200,0.930686
opt-125m,MeZO,1e-8,2,3,900,1800,0.928769
opt-125m,MeZO,1e-8,2,4,1200,2400,0.926815
opt-125m,MeZO,1e-8,2,5,1500,3000,0.924857
opt-125m,MeZO,1e-8,2,6,1800,3600,0.923293
opt-125m,MeZO,1e-8,2,7,2100,4200,0.921495
opt-125m,MeZO,1e-8,2,8,2400,4800,0.919888
opt-125m,MeZO,1e-8,2,9,2700,5400,0.917833
opt-125m,MeZO,1e-8,2,10,3000,6000,0.916199
opt-125m,MeZO,1e-8,2,11,3300,6600,0.914440
opt-125m,MeZO,1e-8,2,12,3600,7200,0.912908
opt-125m,MeZO,1e-8,2,13,3900,7800,0.911364
opt-125m,MeZO,1e-8,2,14,4200,8400,0.909916
opt-125m,MpSub,1.0,0,1,25,1050,0.757733
opt-125m,MpSub,1.0,0,2,50,2100,0.700386
opt-125m,MpSub,1.0,0,3,75,3150,0.751343
opt-125m,MpSub,1.0,0,4,100,4200,0.775034
opt-125m,MpSub,1.0,0,5,125,5250,0.806509
opt-125m,MpSub,1.0,0,6,150,6300,0.749374
opt-125m,MpSub,1.0,0,7,175,7350,1.102411
opt-125m,MpSub,1.0,0,8,200,8400,1.105166
opt-125m,MpSub,1.0,1,1,25,1050,0.712551
opt-125m,MpSub,1.0,1,2,50,2100,0.840898
opt-125m,MpSub,1.0,1,3,75,3150,0.742718
opt-125m,MpSub,1.0,1,4,100,4200,0.876781
opt-125m,MpSub,1.0,1,5,125,5250,0.771817
opt-125m,MpSub,1.0,1,6,150,6300,0.869961
opt-125m,MpSub,1.0,1,7,175,7350,0.757657
opt-125m,MpSub,1.0,1,8,200,8400,0.822415
opt-125m,MpSub,1.0,2,1,25,1050,0.754850
opt-125m,MpSub,1.0,2,2,50,2100,0.669733
opt-125m,MpSub,1.0,2,3,75,3150,0.676343
opt-125m,MpSub,1.0,2,4,100,4200,0.674080
opt-125m,MpSub,1.0,2,5,125,5250,0.661721
opt-125m,MpSub,1.0,2,6,150,6300,0.693943
opt-125m,MpSub,1.0,2,7,175,7350,0.689368
opt-125m,MpSub,1.0,2,8,200,8400,0.713432
opt-125m,MpSub,10.0,0,1,25,1050,0.953870
opt-125m,MpSub,10.0,0,2,50,2100,1.103834
opt-125m,MpSub,10.0,0,3,75,3150,1.000906
opt-125m,MpSub,10.0,0,4,100,4200,1.024187
opt-125m,MpSub,10.0,0,5,125,5250,0.879212
opt-125m,MpSub,10.0,0,6,150,6300,0.853025
opt-125m,MpSub,10.0,0,7,175,7350,0.851421
opt-125m,MpSub,10.0,0,8,200,8400,1.138291
opt-125m,MpSub,10.0,1,1,25,1050,0.866862
opt-125m,MpSub,10.0,1,2,50,2100,0.881012
opt-125m,MpSub,10.0,1,3,75,3150,1.455532
opt-125m,MpSub,10.0,1,4,100,4200,0.860138
opt-125m,MpSub,10.0,1,5,125,5250,0.951835
